sample,phylogroup_containment,phylogroup,assay_type,bioproject,biosample_link,cANI,collection_date_sam,branchwater_containment,geo_loc_name_country_calc,lat_lon,sra_organism,known_country,expected_phylogroup,expected_match
DRR046817,0.11,PhylI,WGS,PRJDB4244,https://www.ncbi.nlm.nih.gov/biosample/SAMD00041426,0.93,NP,0.23,Japan,"[35.6693,139.4257]",activated sludge metagenome,,,False
DRR101455,0.08,PhylI,WGS,PRJDB6359,https://www.ncbi.nlm.nih.gov/biosample/SAMD00093652,0.93,NP,0.2,China,"[32.479787,119.136439]",soil metagenome,China,PhylII;PhylIII,False
DRR101462,0.08,PhylI,WGS,PRJDB6359,https://www.ncbi.nlm.nih.gov/biosample/SAMD00093659,0.93,NP,0.2,China,"[32.479787,119.136439]",soil metagenome,China,PhylII;PhylIII,False
ERR10034880,0.05,PhylII,WGS,PRJEB53918,https://www.ncbi.nlm.nih.gov/biosample/SAMEA110406914,0.93,2017-07-01,0.23,Bangladesh,NP,aquaculture metagenome,,,False
ERR10034884,0.07,PhylII,WGS,PRJEB53918,https://www.ncbi.nlm.nih.gov/biosample/SAMEA110406918,0.93,2017-07-01,0.21,Bangladesh,NP,aquaculture metagenome,,,False
ERR10034885,0.05,PhylII,WGS,PRJEB53918,https://www.ncbi.nlm.nih.gov/biosample/SAMEA110406919,0.93,2017-10-01,0.2,Bangladesh,NP,aquaculture metagenome,,,False
ERR10034887,0.06,PhylI,WGS,PRJEB53918,https://www.ncbi.nlm.nih.gov/biosample/SAMEA110406921,0.93,2018-04-01,0.2,Bangladesh,NP,aquaculture metagenome,,,False
ERR10034891,0.08,PhylII,WGS,PRJEB53918,https://www.ncbi.nlm.nih.gov/biosample/SAMEA110406925,0.93,2018-04-01,0.2,Bangladesh,NP,aquaculture metagenome,,,False
ERR10034896,0.06,PhylII,WGS,PRJEB53918,https://www.ncbi.nlm.nih.gov/biosample/SAMEA110406930,0.93,2017-07-01,0.21,Bangladesh,NP,aquaculture metagenome,,,False
ERR10034898,0.16,PhylII,WGS,PRJEB53918,https://www.ncbi.nlm.nih.gov/biosample/SAMEA110406932,0.93,2018-01-01,0.2,Bangladesh,NP,aquaculture metagenome,,,False
